symbol,time,"dist(0,0)","dist(1,0)","dist(2,0)","dist(3,0)","dist(4,0)","dist(5,0)","dist(6,0)","dist(7,0)","dist(0,1)","dist(1,1)","dist(2,1)","dist(3,1)","dist(4,1)","dist(5,1)","dist(6,1)","dist(7,1)","dist(0,2)","dist(1,2)","dist(2,2)","dist(3,2)","dist(4,2)","dist(5,2)","dist(6,2)","dist(7,2)","dist(0,3)","dist(1,3)","dist(2,3)","dist(3,3)","dist(4,3)","dist(5,3)","dist(6,3)","dist(7,3)","dist(0,4)","dist(1,4)","dist(2,4)","dist(3,4)","dist(4,4)","dist(5,4)","dist(6,4)","dist(7,4)","dist(0,5)","dist(1,5)","dist(2,5)","dist(3,5)","dist(4,5)","dist(5,5)","dist(6,5)","dist(7,5)","dist(0,6)","dist(1,6)","dist(2,6)","dist(3,6)","dist(4,6)","dist(5,6)","dist(6,6)","dist(7,6)","dist(0,7)","dist(1,7)","dist(2,7)","dist(3,7)","dist(4,7)","dist(5,7)","dist(6,7)","dist(7,7)","delta(0,0)","delta(1,0)","delta(2,0)","delta(3,0)","delta(4,0)","delta(5,0)","delta(6,0)","delta(7,0)","delta(0,1)","delta(1,1)","delta(2,1)","delta(3,1)","delta(4,1)","delta(5,1)","delta(6,1)","delta(7,1)","delta(0,2)","delta(1,2)","delta(2,2)","delta(3,2)","delta(4,2)","delta(5,2)","delta(6,2)","delta(7,2)","delta(0,3)","delta(1,3)","delta(2,3)","delta(3,3)","delta(4,3)","delta(5,3)","delta(6,3)","delta(7,3)","delta(0,4)","delta(1,4)","delta(2,4)","delta(3,4)","delta(4,4)","delta(5,4)","delta(6,4)","delta(7,4)","delta(0,5)","delta(1,5)","delta(2,5)","delta(3,5)","delta(4,5)","delta(5,5)","delta(6,5)","delta(7,5)","delta(0,6)","delta(1,6)","delta(2,6)","delta(3,6)","delta(4,6)","delta(5,6)","delta(6,6)","delta(7,6)","delta(0,7)","delta(1,7)","delta(2,7)","delta(3,7)","delta(4,7)","delta(5,7)","delta(6,7)","delta(7,7)"
1,2022-04-04T10:02:23.886360,0.655,1.0,1.0,0.565,1.0,1.0,1.0,1.0,0.865,1.0,0.6275,0.5875,1.0,1.0,1.0,1.0,1.0,1.0,0.55,0.5325,0.6,0.6575,0.6675,0.745,1.0,0.52,0.48,0.485,0.52,0.69,0.6325,0.7825,1.0,0.5,0.49,0.47,0.48,0.52,0.67,1.0,1.0,0.525,0.51,0.49,0.4825,0.5075,0.6525,0.695,1.0,0.8425,0.54,0.5375,0.5175,0.5275,0.65,0.77,1.0,1.0,0.615,0.545,0.535,1.0,0.6475,1.0,0.117,0.0,0.0179,0.0163,0.0,0.0,0.0,0.0,0.0893,0.2202,0.215,0.0127,0.0381,0.0989,0.0001,0.0,0.0,0.0214,0.0159,0.0086,0.0139,0.0128,0.048,0.1794,0.0,0.1021,0.0083,0.008,0.0098,0.0895,0.059,0.0242,0.0167,0.0114,0.0099,0.0057,0.0055,0.3499,0.0143,0.0,0.0102,0.0167,0.0094,0.0116,0.0105,0.0178,0.0988,0.0412,0.0,0.0782,0.0097,0.0076,0.0078,0.0126,0.2824,0.035,0.0,0.0069,0.0123,0.0108,0.0086,0.1506,0.0239,0.0999
1,2022-04-04T10:02:24.164343,1.0,1.0,1.0,0.57,1.0,1.0,1.0,1.0,1.0,0.62,0.6075,0.57,0.6,0.6825,0.68,1.0,1.0,1.0,0.6,0.535,0.5975,0.585,0.69,0.745,1.0,0.52,0.4825,0.4825,0.525,0.6525,0.6725,0.7175,1.0,0.5,0.48,0.4675,0.48,0.5625,0.66,1.0,1.0,0.5175,0.5,0.4775,0.47,0.5025,0.705,0.68,1.0,0.7425,0.52,0.525,0.5125,0.52,0.6875,0.68,1.0,1.0,0.59,0.535,0.5275,1.0,0.6525,1.0,0.1155,0.0,0.0045,0.0072,0.0,0.0,0.0,0.0,0.0642,0.2451,0.0588,0.0113,0.1176,0.1116,0.0888,0.0,0.0,0.0053,0.0202,0.0065,0.0172,0.0469,0.0345,0.0449,0.0,0.0311,0.0064,0.0051,0.0143,0.2736,0.0247,0.2017,0.0042,0.0122,0.0062,0.0027,0.0145,0.1043,0.0073,0.0,0.0025,0.0098,0.0055,0.0079,0.007,0.0057,0.051,0.0309,0.0,0.0771,0.0112,0.0082,0.0045,0.0106,0.0869,0.045,0.0,0.0017,0.0131,0.0114,0.0046,0.3527,0.2678,0.2818
1,2022-04-04T10:02:24.435345,1.0,1.0,1.0,0.5475,1.0,1.0,1.0,1.0,0.9475,0.745,0.68,0.5725,0.59,0.7375,0.705,0.7475,1.0,1.0,0.6125,0.5625,0.575,0.69,0.6825,1.0,1.0,1.0,0.5,0.48,0.51,0.64,1.0,0.7025,1.0,0.51,0.4725,0.4675,0.475,0.5375,0.6625,1.0,1.0,0.5325,0.5,0.47,0.4625,0.495,0.6425,0.5875,1.0,0.825,0.52,0.52,0.4925,0.5,0.6,0.7375,1.0,1.0,0.6075,0.5475,0.525,1.0,0.6025,0.6625,0.0289,0.0,0.0011,0.0106,0.0,0.0,0.0,0.0,0.1642,0.1375,0.0397,0.0035,0.0344,0.121,0.0572,0.1262,0.0,0.0013,0.0132,0.0141,0.0193,0.0392,0.0386,0.1381,0.0,0.1278,0.0097,0.0025,0.0111,0.084,0.0881,0.056,0.001,0.0156,0.0047,0.0025,0.0061,0.033,0.0306,0.0,0.0006,0.0093,0.0051,0.0039,0.0055,0.0108,0.0309,0.0477,0.0,0.0499,0.0028,0.0033,0.008,0.0095,0.0561,0.04,0.0,0.0004,0.0114,0.0085,0.0055,0.0882,0.3526,0.2392
1,2022-04-04T10:02:24.564213,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8375,0.6875,1.0,0.565,0.57,0.6775,0.6575,1.0,1.0,1.0,0.6325,0.56,0.59,0.6975,0.7025,0.6725,1.0,1.0,0.5225,0.4875,0.4975,0.7075,1.0,1.0,1.0,0.495,0.475,0.4675,0.475,0.53,0.6425,0.7225,1.0,0.5375,0.495,0.465,0.4525,0.48,0.605,0.66,1.0,0.87,0.515,0.515,0.49,0.49,0.58,0.7375,1.0,1.0,0.6025,0.54,0.52,0.5275,0.69,1.0,0.0144,0.0,0.0006,0.2315,0.0,0.0,0.0,0.0,0.1371,0.0975,0.1798,0.0055,0.0272,0.0905,0.0523,0.1894,0.0,0.0007,0.0166,0.0083,0.0172,0.0234,0.0293,0.2328,0.0,0.0639,0.0161,0.005,0.0118,0.0758,0.044,0.1768,0.0005,0.0153,0.0036,0.0013,0.0031,0.0202,0.0253,0.1387,0.0003,0.0072,0.0051,0.0044,0.0077,0.0129,0.0342,0.0601,0.0,0.0474,0.0039,0.0041,0.0052,0.0098,0.038,0.02,0.0,0.0002,0.0082,0.008,0.0053,0.2803,0.22,0.2884
1,2022-04-04T10:02:24.701747,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8375,1.0,0.6975,0.5775,0.5675,0.75,0.6975,1.0,1.0,1.0,0.6225,0.565,0.5775,0.67,1.0,0.6725,1.0,1.0,0.5175,0.485,0.5025,0.71,0.705,0.7325,1.0,0.52,0.4775,0.465,0.4675,0.5375,0.5875,1.0,1.0,0.535,0.485,0.475,0.4525,0.47,0.6225,0.71,1.0,0.9275,0.51,0.505,0.4825,0.48,0.59,0.7525,1.0,1.0,0.61,0.535,0.525,0.5125,0.6275,0.625,0.0072,0.0,0.0003,0.1158,0.0,0.0,0.0,0.0,0.0685,0.205,0.2412,0.009,0.0149,0.0815,0.0462,0.0947,0.0,0.0003,0.0133,0.0067,0.0148,0.0254,0.1634,0.1164,0.0,0.0319,0.0106,0.0038,0.0084,0.0391,0.1695,0.2221,0.0003,0.0201,0.003,0.0019,0.0053,0.0139,0.0401,0.2081,0.0002,0.0048,0.0075,0.0072,0.0039,0.0115,0.0258,0.0551,0.0,0.0525,0.0044,0.0071,0.0064,0.0099,0.024,0.0175,0.0,0.0001,0.0078,0.0065,0.0051,0.1477,0.1413,0.3317
1,2022-04-04T10:02:24.838656,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.745,0.7425,1.0,0.57,0.565,0.73,0.7275,1.0,1.0,1.0,0.6475,0.5775,0.5725,0.6825,0.6725,0.76,1.0,1.0,0.52,0.4975,0.5075,1.0,0.6925,0.7325,1.0,0.54,0.4825,0.46,0.4775,1.0,0.6975,1.0,1.0,0.5425,0.5,0.475,0.4575,0.46,0.615,0.66,1.0,0.99,0.5125,0.51,0.4875,0.4875,0.575,0.6925,1.0,1.0,0.6025,0.545,0.5175,0.51,0.6725,1.0,0.0036,0.0,0.0001,0.0579,0.0,0.0,0.0,0.0,0.0805,0.2313,0.2718,0.0082,0.0087,0.0508,0.0381,0.0473,0.0,0.0002,0.0191,0.0096,0.0099,0.019,0.2455,0.1019,0.0,0.016,0.0065,0.0081,0.0067,0.1646,0.091,0.1111,0.0001,0.0201,0.004,0.0034,0.0076,0.2382,0.0751,0.1041,0.0001,0.0062,0.0113,0.0036,0.0044,0.0107,0.0167,0.0525,0.0,0.0575,0.0035,0.006,0.0057,0.0087,0.0195,0.0387,0.0,0.0001,0.0077,0.0082,0.0063,0.0751,0.0931,0.3533
1,2022-04-04T10:02:25.096194,0.665,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9575,1.0,1.0,0.5675,0.58,1.0,0.6525,1.0,1.0,1.0,0.6675,0.565,0.5825,0.685,0.6,0.76,1.0,1.0,0.515,0.5025,0.5075,0.6225,1.0,1.0,1.0,0.53,0.48,0.4625,0.4775,0.5375,0.6825,0.6925,1.0,0.5325,0.495,0.4675,0.46,0.475,0.605,0.6825,1.0,0.9425,0.5175,0.5125,0.4875,0.495,0.595,0.715,1.0,1.0,0.6125,0.53,0.52,0.505,0.655,1.0,0.1034,0.0,0.0,0.0145,0.0,0.0,0.0,0.0,0.1051,0.1222,0.068,0.0046,0.0134,0.1308,0.0308,0.0118,0.0,0.0413,0.0167,0.0093,0.0106,0.0091,0.1014,0.0255,0.0,0.004,0.0135,0.0083,0.0035,0.1399,0.0996,0.0946,0.0,0.0138,0.0023,0.0021,0.0057,0.2908,0.0238,0.1798,0.0,0.029,0.0041,0.0034,0.0061,0.0083,0.0142,0.02,0.0,0.0456,0.004,0.0046,0.0033,0.0115,0.3136,0.0209,0.0,0.0,0.0082,0.0058,0.0041,0.0213,0.0633,0.3677
1,2022-04-04T10:02:25.224188,0.73,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.79,1.0,0.6825,0.5725,0.5775,0.7175,1.0,1.0,1.0,0.9925,0.6475,0.585,0.5775,0.6575,0.745,0.76,1.0,1.0,0.515,0.4975,0.505,0.695,1.0,1.0,1.0,0.52,0.485,0.465,0.48,0.57,0.685,1.0,1.0,0.525,0.49,0.475,0.455,0.4825,0.67,0.6725,1.0,0.8925,0.515,0.5175,0.4975,0.485,0.5925,0.655,1.0,1.0,0.6075,0.5425,0.5225,0.525,0.6025,0.6325,0.0842,0.0,0.0,0.0072,0.0,0.0,0.0,0.0,0.1363,0.0611,0.1927,0.0048,0.008,0.2067,0.1891,0.0059,0.0,0.0244,0.0183,0.0146,0.0078,0.0183,0.1232,0.0127,0.0,0.002,0.0068,0.0066,0.003,0.1062,0.0498,0.0473,0.0,0.0119,0.0036,0.0023,0.0041,0.1616,0.0131,0.2436,0.0,0.0183,0.0045,0.0055,0.0056,0.0079,0.0396,0.015,0.0,0.0478,0.0032,0.0048,0.0066,0.0108,0.1581,0.0405,0.0,0.0,0.0066,0.0092,0.0033,0.0206,0.0579,0.3676
1,2022-04-04T10:02:25.381516,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.79,0.795,0.6775,0.5675,0.5725,1.0,0.6675,1.0,1.0,0.9375,0.625,0.5675,0.575,0.69,0.69,1.0,1.0,1.0,0.5125,0.5025,0.52,0.62,1.0,1.0,1.0,0.525,0.475,0.4725,0.4775,0.57,0.685,1.0,1.0,0.5275,0.495,0.475,0.4625,0.4825,0.6675,0.66,1.0,0.89,0.5175,0.5175,0.49,0.4925,1.0,0.77,1.0,1.0,0.6,0.545,0.53,0.515,0.6375,0.6325,0.1771,0.0,0.0,0.0036,0.0,0.0,0.0,0.0,0.0682,0.133,0.0989,0.0049,0.0065,0.2446,0.2608,0.003,0.0,0.0397,0.0204,0.0161,0.0052,0.0254,0.0891,0.1264,0.0,0.001,0.0046,0.0058,0.009,0.0906,0.0249,0.0237,0.0,0.0084,0.0068,0.0049,0.0033,0.0808,0.0066,0.1218,0.0,0.0104,0.0048,0.0027,0.0065,0.004,0.021,0.0138,0.0,0.0252,0.0029,0.0024,0.0071,0.0091,0.2828,0.0777,0.0,0.0,0.007,0.0058,0.0054,0.0153,0.0464,0.1838
1,2022-04-04T10:02:25.525237,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.79,0.705,0.6425,0.5725,0.57,0.84,0.7425,0.7975,1.0,1.0,0.625,0.57,0.59,0.68,0.66,0.735,1.0,1.0,0.515,0.5,0.52,0.65,0.6775,0.7075,1.0,0.52,0.4875,0.475,0.485,0.5575,0.6675,1.0,1.0,0.535,0.495,0.475,0.4675,0.49,0.655,0.6825,1.0,0.93,0.52,0.5175,0.4975,0.4875,1.0,0.6925,1.0,1.0,0.61,0.5475,0.5225,0.5225,0.675,1.0,0.0886,0.0,0.0,0.0018,0.0,0.0,0.0,0.0,0.0341,0.1115,0.0669,0.0049,0.0045,0.2023,0.1679,0.1027,0.0,0.0511,0.0102,0.0093,0.0101,0.0177,0.0595,0.1957,0.0,0.0005,0.0036,0.0042,0.0045,0.0603,0.1737,0.1581,0.0,0.0067,0.0097,0.0037,0.0054,0.0467,0.012,0.0609,0.0,0.0089,0.0024,0.0014,0.0058,0.0057,0.0168,0.0181,0.0,0.0326,0.0027,0.0012,0.0073,0.0071,0.1414,0.0776,0.0,0.0,0.0085,0.0042,0.0064,0.0114,0.042,0.2757
