symbol,time,"dist(0,0)","dist(1,0)","dist(2,0)","dist(3,0)","dist(4,0)","dist(5,0)","dist(6,0)","dist(7,0)","dist(0,1)","dist(1,1)","dist(2,1)","dist(3,1)","dist(4,1)","dist(5,1)","dist(6,1)","dist(7,1)","dist(0,2)","dist(1,2)","dist(2,2)","dist(3,2)","dist(4,2)","dist(5,2)","dist(6,2)","dist(7,2)","dist(0,3)","dist(1,3)","dist(2,3)","dist(3,3)","dist(4,3)","dist(5,3)","dist(6,3)","dist(7,3)","dist(0,4)","dist(1,4)","dist(2,4)","dist(3,4)","dist(4,4)","dist(5,4)","dist(6,4)","dist(7,4)","dist(0,5)","dist(1,5)","dist(2,5)","dist(3,5)","dist(4,5)","dist(5,5)","dist(6,5)","dist(7,5)","dist(0,6)","dist(1,6)","dist(2,6)","dist(3,6)","dist(4,6)","dist(5,6)","dist(6,6)","dist(7,6)","dist(0,7)","dist(1,7)","dist(2,7)","dist(3,7)","dist(4,7)","dist(5,7)","dist(6,7)","dist(7,7)","sigma(0,0)","sigma(1,0)","sigma(2,0)","sigma(3,0)","sigma(4,0)","sigma(5,0)","sigma(6,0)","sigma(7,0)","sigma(0,1)","sigma(1,1)","sigma(2,1)","sigma(3,1)","sigma(4,1)","sigma(5,1)","sigma(6,1)","sigma(7,1)","sigma(0,2)","sigma(1,2)","sigma(2,2)","sigma(3,2)","sigma(4,2)","sigma(5,2)","sigma(6,2)","sigma(7,2)","sigma(0,3)","sigma(1,3)","sigma(2,3)","sigma(3,3)","sigma(4,3)","sigma(5,3)","sigma(6,3)","sigma(7,3)","sigma(0,4)","sigma(1,4)","sigma(2,4)","sigma(3,4)","sigma(4,4)","sigma(5,4)","sigma(6,4)","sigma(7,4)","sigma(0,5)","sigma(1,5)","sigma(2,5)","sigma(3,5)","sigma(4,5)","sigma(5,5)","sigma(6,5)","sigma(7,5)","sigma(0,6)","sigma(1,6)","sigma(2,6)","sigma(3,6)","sigma(4,6)","sigma(5,6)","sigma(6,6)","sigma(7,6)","sigma(0,7)","sigma(1,7)","sigma(2,7)","sigma(3,7)","sigma(4,7)","sigma(5,7)","sigma(6,7)","sigma(7,7)"
1,2022-04-06T07:25:10.586384,502.0,1112.0,1023.0,190.0,1685.0,1686.0,1675.0,1173.0,502.0,946.0,1663.0,200.0,1638.0,1597.0,1595.0,1331.0,510.0,943.0,1056.0,195.0,1561.0,1558.0,1544.0,1310.0,521.0,924.0,168.0,171.0,176.0,1504.0,1492.0,1411.0,483.0,175.0,165.0,165.0,165.0,165.0,1447.0,1412.0,437.0,179.0,173.0,169.0,161.0,164.0,1410.0,1378.0,410.0,221.0,182.0,186.0,182.0,178.0,1361.0,1351.0,399.0,387.0,195.0,192.0,184.0,187.0,1330.0,1306.0,6.0,16.0,22.0,2.0,8.0,8.0,12.0,30.0,4.0,19.0,29.0,2.0,14.0,10.0,8.0,23.0,4.0,9.0,20.0,2.0,10.0,10.0,8.0,25.0,4.0,10.0,2.0,1.0,2.0,9.0,7.0,14.0,3.0,2.0,1.0,1.0,1.0,2.0,8.0,10.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,8.0,2.0,2.0,1.0,1.0,1.0,2.0,6.0,7.0,2.0,2.0,1.0,1.0,1.0,1.0,7.0,5.0
1,2022-04-06T07:25:10.651580,497.0,356.0,215.0,191.0,1716.0,1673.0,1645.0,1286.0,508.0,481.0,1546.0,200.0,1620.0,1613.0,1589.0,1367.0,515.0,962.0,203.0,197.0,1579.0,1526.0,1521.0,1474.0,518.0,951.0,173.0,172.0,176.0,1500.0,1479.0,1420.0,483.0,178.0,169.0,163.0,165.0,167.0,1433.0,1360.0,444.0,188.0,175.0,166.0,162.0,162.0,1374.0,1357.0,414.0,249.0,185.0,185.0,183.0,175.0,1368.0,1346.0,397.0,404.0,200.0,191.0,185.0,186.0,1325.0,1314.0,7.0,57.0,4.0,2.0,8.0,10.0,11.0,17.0,3.0,15.0,27.0,2.0,8.0,11.0,9.0,16.0,3.0,9.0,2.0,2.0,10.0,9.0,8.0,13.0,4.0,8.0,2.0,1.0,2.0,6.0,8.0,11.0,3.0,2.0,1.0,1.0,1.0,2.0,8.0,12.0,2.0,2.0,1.0,1.0,1.0,1.0,9.0,7.0,2.0,3.0,1.0,1.0,1.0,1.0,7.0,7.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,7.0
1,2022-04-06T07:25:10.715824,499.0,268.0,1777.0,192.0,1701.0,1654.0,1656.0,1148.0,505.0,423.0,1701.0,202.0,1626.0,1607.0,1599.0,1215.0,510.0,965.0,206.0,194.0,1572.0,1571.0,1529.0,1402.0,524.0,955.0,174.0,172.0,173.0,1505.0,1489.0,1423.0,487.0,183.0,168.0,166.0,164.0,166.0,1442.0,1379.0,444.0,197.0,175.0,170.0,159.0,164.0,1415.0,1359.0,415.0,275.0,183.0,188.0,186.0,178.0,1378.0,1344.0,396.0,407.0,195.0,191.0,191.0,186.0,1338.0,1305.0,7.0,19.0,16.0,2.0,8.0,10.0,13.0,23.0,3.0,20.0,24.0,2.0,9.0,10.0,9.0,19.0,4.0,8.0,3.0,2.0,9.0,9.0,11.0,18.0,3.0,9.0,2.0,1.0,2.0,8.0,8.0,12.0,3.0,2.0,1.0,1.0,1.0,2.0,12.0,10.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,10.0,2.0,3.0,1.0,1.0,1.0,1.0,8.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,6.0
1,2022-04-06T07:25:10.781618,496.0,395.0,1800.0,192.0,1699.0,1665.0,1668.0,1197.0,506.0,841.0,221.0,199.0,1627.0,1595.0,1585.0,1252.0,520.0,956.0,210.0,195.0,1571.0,1557.0,1537.0,1461.0,524.0,942.0,180.0,172.0,170.0,1516.0,1487.0,1418.0,476.0,183.0,170.0,164.0,163.0,167.0,1444.0,1380.0,443.0,191.0,173.0,167.0,161.0,163.0,175.0,1385.0,416.0,298.0,182.0,185.0,182.0,174.0,1355.0,1345.0,400.0,407.0,201.0,190.0,191.0,182.0,1337.0,1303.0,6.0,40.0,13.0,2.0,9.0,7.0,9.0,15.0,3.0,38.0,3.0,2.0,11.0,10.0,8.0,29.0,3.0,8.0,3.0,2.0,10.0,8.0,11.0,12.0,4.0,10.0,2.0,1.0,2.0,9.0,6.0,14.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,9.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,7.0,2.0,4.0,1.0,1.0,1.0,1.0,7.0,7.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0,7.0
1,2022-04-06T07:25:10.846473,493.0,336.0,1753.0,190.0,1684.0,1677.0,1697.0,1189.0,496.0,990.0,218.0,194.0,1640.0,1594.0,1593.0,1364.0,513.0,965.0,207.0,202.0,1580.0,1549.0,1533.0,1455.0,521.0,944.0,1207.0,171.0,168.0,1524.0,1485.0,1399.0,487.0,199.0,167.0,163.0,164.0,162.0,1442.0,1380.0,439.0,197.0,174.0,168.0,162.0,162.0,171.0,1385.0,413.0,317.0,181.0,181.0,184.0,176.0,1357.0,1352.0,398.0,409.0,198.0,189.0,190.0,183.0,1333.0,1318.0,6.0,34.0,18.0,2.0,10.0,9.0,13.0,20.0,4.0,16.0,5.0,2.0,12.0,10.0,7.0,26.0,3.0,9.0,4.0,2.0,12.0,9.0,9.0,14.0,3.0,7.0,46.0,1.0,2.0,8.0,7.0,15.0,2.0,3.0,1.0,1.0,1.0,1.0,11.0,9.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,7.0,2.0,4.0,1.0,1.0,1.0,1.0,7.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,8.0,5.0
1,2022-04-06T07:25:10.911484,512.0,397.0,1748.0,192.0,1701.0,1696.0,1641.0,1250.0,511.0,585.0,1667.0,201.0,1603.0,1606.0,1583.0,1571.0,510.0,954.0,230.0,198.0,1579.0,1565.0,1530.0,1491.0,531.0,932.0,192.0,175.0,170.0,1530.0,1482.0,1393.0,482.0,241.0,170.0,166.0,165.0,164.0,1431.0,1369.0,445.0,206.0,175.0,169.0,165.0,161.0,168.0,1357.0,413.0,346.0,181.0,187.0,185.0,175.0,184.0,1344.0,400.0,408.0,222.0,189.0,192.0,183.0,1321.0,1312.0,7.0,40.0,11.0,2.0,9.0,9.0,11.0,30.0,3.0,9.0,15.0,2.0,14.0,12.0,8.0,17.0,3.0,7.0,4.0,2.0,10.0,9.0,9.0,12.0,3.0,8.0,2.0,1.0,2.0,8.0,8.0,15.0,2.0,4.0,1.0,1.0,1.0,1.0,8.0,9.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,6.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,6.0
1,2022-04-06T07:25:10.977494,501.0,1076.0,1772.0,196.0,196.0,1681.0,1672.0,1231.0,509.0,1029.0,1678.0,200.0,199.0,1583.0,1596.0,1432.0,523.0,956.0,242.0,206.0,200.0,1556.0,1524.0,1514.0,518.0,944.0,1170.0,171.0,172.0,1506.0,1487.0,1402.0,486.0,465.0,170.0,165.0,166.0,166.0,175.0,1388.0,441.0,237.0,175.0,170.0,168.0,166.0,167.0,1380.0,418.0,395.0,185.0,183.0,185.0,178.0,181.0,1349.0,400.0,415.0,235.0,188.0,191.0,185.0,1330.0,1313.0,6.0,17.0,11.0,2.0,2.0,9.0,19.0,33.0,3.0,15.0,16.0,2.0,2.0,9.0,10.0,34.0,3.0,7.0,6.0,2.0,2.0,9.0,9.0,14.0,3.0,10.0,30.0,1.0,2.0,11.0,8.0,9.0,3.0,6.0,1.0,1.0,1.0,1.0,3.0,10.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,7.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,6.0,2.0,2.0,3.0,1.0,1.0,1.0,5.0,7.0
1,2022-04-06T07:25:11.041215,502.0,318.0,1767.0,191.0,193.0,1679.0,1656.0,1172.0,502.0,552.0,1651.0,200.0,199.0,1596.0,1584.0,1389.0,507.0,977.0,237.0,202.0,199.0,1558.0,1524.0,1462.0,529.0,944.0,982.0,173.0,171.0,1499.0,1487.0,1420.0,483.0,384.0,173.0,166.0,165.0,166.0,169.0,1417.0,442.0,324.0,181.0,172.0,165.0,163.0,164.0,1364.0,415.0,406.0,189.0,184.0,187.0,182.0,182.0,1336.0,403.0,412.0,270.0,191.0,192.0,186.0,1321.0,1312.0,7.0,19.0,16.0,2.0,2.0,8.0,11.0,34.0,4.0,8.0,17.0,2.0,2.0,9.0,7.0,21.0,3.0,8.0,6.0,2.0,2.0,8.0,7.0,14.0,3.0,7.0,18.0,1.0,1.0,8.0,8.0,10.0,3.0,10.0,1.0,1.0,1.0,1.0,2.0,9.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,7.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,3.0,1.0,1.0,1.0,6.0,6.0
1,2022-04-06T07:25:11.236863,506.0,1075.0,1747.0,1740.0,197.0,1670.0,1657.0,1338.0,496.0,559.0,1673.0,198.0,197.0,1611.0,1583.0,1457.0,516.0,953.0,984.0,206.0,198.0,1545.0,1540.0,1459.0,521.0,966.0,941.0,184.0,175.0,173.0,1486.0,1447.0,483.0,446.0,178.0,167.0,167.0,166.0,164.0,1422.0,444.0,413.0,183.0,174.0,166.0,163.0,163.0,1378.0,414.0,419.0,203.0,186.0,187.0,181.0,180.0,1348.0,400.0,414.0,317.0,193.0,193.0,187.0,1325.0,1328.0,6.0,22.0,16.0,9.0,2.0,8.0,9.0,31.0,4.0,8.0,16.0,2.0,2.0,8.0,8.0,20.0,3.0,9.0,12.0,2.0,2.0,9.0,9.0,12.0,4.0,10.0,15.0,2.0,1.0,2.0,7.0,9.0,3.0,6.0,2.0,1.0,1.0,1.0,2.0,9.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,8.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,4.0,1.0,1.0,1.0,6.0,6.0
1,2022-04-06T07:25:11.302005,490.0,390.0,1781.0,1773.0,194.0,1677.0,1669.0,1172.0,501.0,982.0,1684.0,201.0,197.0,1610.0,1591.0,1368.0,514.0,934.0,986.0,202.0,199.0,1543.0,1530.0,1458.0,518.0,943.0,943.0,180.0,172.0,170.0,1487.0,1433.0,482.0,460.0,180.0,166.0,165.0,166.0,164.0,1408.0,441.0,413.0,180.0,174.0,167.0,165.0,165.0,1377.0,416.0,420.0,200.0,183.0,189.0,183.0,180.0,1355.0,399.0,417.0,339.0,193.0,195.0,186.0,1325.0,1315.0,6.0,34.0,16.0,15.0,2.0,9.0,14.0,23.0,3.0,13.0,9.0,2.0,2.0,8.0,10.0,26.0,3.0,7.0,10.0,2.0,2.0,9.0,8.0,14.0,3.0,8.0,14.0,2.0,1.0,2.0,7.0,9.0,3.0,5.0,2.0,1.0,1.0,1.0,2.0,7.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,7.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,4.0,1.0,1.0,1.0,6.0,7.0
