symbol,time,"dist(0,0)","dist(1,0)","dist(2,0)","dist(3,0)","dist(4,0)","dist(5,0)","dist(6,0)","dist(7,0)","dist(0,1)","dist(1,1)","dist(2,1)","dist(3,1)","dist(4,1)","dist(5,1)","dist(6,1)","dist(7,1)","dist(0,2)","dist(1,2)","dist(2,2)","dist(3,2)","dist(4,2)","dist(5,2)","dist(6,2)","dist(7,2)","dist(0,3)","dist(1,3)","dist(2,3)","dist(3,3)","dist(4,3)","dist(5,3)","dist(6,3)","dist(7,3)","dist(0,4)","dist(1,4)","dist(2,4)","dist(3,4)","dist(4,4)","dist(5,4)","dist(6,4)","dist(7,4)","dist(0,5)","dist(1,5)","dist(2,5)","dist(3,5)","dist(4,5)","dist(5,5)","dist(6,5)","dist(7,5)","dist(0,6)","dist(1,6)","dist(2,6)","dist(3,6)","dist(4,6)","dist(5,6)","dist(6,6)","dist(7,6)","dist(0,7)","dist(1,7)","dist(2,7)","dist(3,7)","dist(4,7)","dist(5,7)","dist(6,7)","dist(7,7)","sigma(0,0)","sigma(1,0)","sigma(2,0)","sigma(3,0)","sigma(4,0)","sigma(5,0)","sigma(6,0)","sigma(7,0)","sigma(0,1)","sigma(1,1)","sigma(2,1)","sigma(3,1)","sigma(4,1)","sigma(5,1)","sigma(6,1)","sigma(7,1)","sigma(0,2)","sigma(1,2)","sigma(2,2)","sigma(3,2)","sigma(4,2)","sigma(5,2)","sigma(6,2)","sigma(7,2)","sigma(0,3)","sigma(1,3)","sigma(2,3)","sigma(3,3)","sigma(4,3)","sigma(5,3)","sigma(6,3)","sigma(7,3)","sigma(0,4)","sigma(1,4)","sigma(2,4)","sigma(3,4)","sigma(4,4)","sigma(5,4)","sigma(6,4)","sigma(7,4)","sigma(0,5)","sigma(1,5)","sigma(2,5)","sigma(3,5)","sigma(4,5)","sigma(5,5)","sigma(6,5)","sigma(7,5)","sigma(0,6)","sigma(1,6)","sigma(2,6)","sigma(3,6)","sigma(4,6)","sigma(5,6)","sigma(6,6)","sigma(7,6)","sigma(0,7)","sigma(1,7)","sigma(2,7)","sigma(3,7)","sigma(4,7)","sigma(5,7)","sigma(6,7)","sigma(7,7)"
1,2022-04-06T00:13:43.507765,237.0,2028.0,180.0,1847.0,1793.0,1744.0,1709.0,1196.0,534.0,236.0,185.0,1751.0,1685.0,1653.0,1627.0,1275.0,546.0,230.0,177.0,182.0,1609.0,1585.0,1553.0,1534.0,516.0,158.0,156.0,166.0,1573.0,1537.0,1502.0,1425.0,539.0,153.0,154.0,155.0,169.0,1496.0,1437.0,1412.0,515.0,166.0,152.0,147.0,152.0,163.0,1414.0,1371.0,444.0,177.0,168.0,157.0,158.0,165.0,1355.0,1331.0,425.0,310.0,184.0,185.0,173.0,1328.0,1313.0,1286.0,16.0,22.0,1.0,10.0,7.0,9.0,9.0,17.0,18.0,7.0,1.0,15.0,17.0,12.0,8.0,13.0,4.0,5.0,1.0,2.0,10.0,10.0,8.0,8.0,5.0,2.0,1.0,1.0,9.0,8.0,7.0,10.0,4.0,1.0,1.0,1.0,1.0,8.0,7.0,6.0,4.0,1.0,1.0,1.0,1.0,2.0,6.0,5.0,3.0,1.0,1.0,1.0,1.0,2.0,6.0,5.0,2.0,5.0,1.0,1.0,1.0,5.0,5.0,6.0
1,2022-04-06T00:13:43.572850,241.0,1987.0,184.0,1820.0,1784.0,1725.0,1730.0,1195.0,502.0,231.0,189.0,1192.0,1706.0,1706.0,1645.0,1341.0,542.0,1034.0,178.0,1737.0,1619.0,1606.0,1559.0,1520.0,550.0,156.0,155.0,165.0,1591.0,1531.0,1485.0,1455.0,176.0,151.0,152.0,156.0,168.0,1481.0,1443.0,1417.0,523.0,164.0,153.0,146.0,152.0,166.0,1395.0,1366.0,442.0,175.0,165.0,156.0,157.0,166.0,1353.0,1338.0,425.0,288.0,186.0,183.0,172.0,1331.0,1300.0,1289.0,15.0,17.0,1.0,11.0,9.0,10.0,15.0,23.0,15.0,8.0,1.0,21.0,15.0,10.0,8.0,17.0,4.0,24.0,2.0,26.0,9.0,8.0,8.0,12.0,4.0,2.0,1.0,1.0,11.0,8.0,7.0,9.0,3.0,1.0,1.0,1.0,2.0,11.0,6.0,7.0,4.0,1.0,1.0,1.0,1.0,2.0,9.0,5.0,3.0,1.0,1.0,1.0,1.0,2.0,6.0,6.0,2.0,5.0,1.0,1.0,1.0,6.0,5.0,7.0
1,2022-04-06T00:13:43.641999,2113.0,1995.0,185.0,1854.0,1822.0,1754.0,1737.0,1679.0,390.0,1152.0,186.0,1185.0,1674.0,1656.0,1654.0,1512.0,553.0,204.0,177.0,1618.0,1610.0,1575.0,1567.0,1529.0,539.0,155.0,158.0,164.0,1574.0,1535.0,1494.0,1468.0,176.0,153.0,151.0,155.0,168.0,1483.0,1447.0,1420.0,517.0,163.0,153.0,146.0,152.0,168.0,1393.0,1376.0,433.0,176.0,167.0,155.0,156.0,165.0,1357.0,1337.0,426.0,291.0,186.0,182.0,174.0,1327.0,1316.0,1305.0,19.0,16.0,1.0,16.0,8.0,9.0,13.0,34.0,40.0,15.0,1.0,22.0,13.0,14.0,8.0,23.0,4.0,5.0,1.0,16.0,11.0,9.0,7.0,9.0,3.0,2.0,1.0,1.0,9.0,8.0,7.0,10.0,2.0,1.0,1.0,1.0,2.0,6.0,9.0,7.0,4.0,1.0,1.0,1.0,1.0,2.0,8.0,6.0,4.0,1.0,1.0,1.0,1.0,2.0,6.0,7.0,2.0,5.0,1.0,1.0,1.0,6.0,6.0,5.0
1,2022-04-06T00:13:43.703103,233.0,2041.0,185.0,1866.0,1806.0,1733.0,1733.0,1676.0,535.0,1159.0,189.0,1192.0,1712.0,1664.0,1632.0,1417.0,550.0,224.0,180.0,1670.0,1612.0,1596.0,1565.0,1523.0,541.0,161.0,156.0,165.0,1564.0,1547.0,1509.0,1445.0,185.0,152.0,153.0,157.0,171.0,1490.0,1458.0,1422.0,516.0,165.0,151.0,147.0,153.0,166.0,1400.0,1362.0,448.0,175.0,168.0,155.0,156.0,161.0,1354.0,1329.0,426.0,281.0,184.0,181.0,174.0,1329.0,1304.0,1293.0,10.0,21.0,1.0,16.0,12.0,12.0,15.0,39.0,25.0,14.0,1.0,31.0,12.0,10.0,7.0,35.0,3.0,5.0,1.0,19.0,10.0,10.0,6.0,9.0,3.0,2.0,1.0,1.0,11.0,10.0,7.0,8.0,3.0,1.0,1.0,1.0,2.0,8.0,7.0,7.0,5.0,1.0,1.0,1.0,1.0,2.0,6.0,6.0,3.0,1.0,1.0,1.0,1.0,2.0,7.0,6.0,2.0,4.0,1.0,1.0,1.0,7.0,5.0,5.0
1,2022-04-06T00:13:43.770731,207.0,2001.0,183.0,1810.0,1817.0,1776.0,1696.0,1284.0,516.0,1122.0,188.0,197.0,1709.0,1665.0,1638.0,1605.0,549.0,226.0,176.0,183.0,1619.0,1588.0,1572.0,1505.0,550.0,158.0,158.0,161.0,1560.0,1562.0,1490.0,1460.0,546.0,152.0,154.0,155.0,169.0,1484.0,1449.0,1424.0,514.0,162.0,154.0,146.0,152.0,165.0,1401.0,1373.0,454.0,176.0,169.0,154.0,156.0,162.0,1347.0,1314.0,425.0,297.0,182.0,183.0,171.0,1331.0,1308.0,1287.0,17.0,14.0,1.0,16.0,14.0,8.0,17.0,34.0,19.0,24.0,1.0,3.0,13.0,12.0,6.0,14.0,4.0,5.0,1.0,2.0,10.0,9.0,7.0,10.0,4.0,2.0,1.0,1.0,10.0,7.0,6.0,9.0,5.0,1.0,1.0,1.0,2.0,7.0,6.0,6.0,4.0,1.0,1.0,1.0,1.0,2.0,6.0,6.0,3.0,1.0,1.0,1.0,1.0,2.0,6.0,6.0,2.0,5.0,1.0,1.0,1.0,5.0,6.0,5.0
1,2022-04-06T00:13:43.833599,207.0,2005.0,183.0,1855.0,1795.0,1746.0,1729.0,1204.0,535.0,235.0,187.0,1175.0,1684.0,1651.0,1644.0,1504.0,556.0,224.0,181.0,189.0,1617.0,1588.0,1563.0,1472.0,547.0,158.0,160.0,165.0,1544.0,1557.0,1506.0,1452.0,550.0,151.0,152.0,159.0,170.0,1482.0,1455.0,1411.0,513.0,163.0,153.0,146.0,153.0,166.0,1403.0,1377.0,452.0,174.0,168.0,155.0,157.0,165.0,1350.0,1330.0,422.0,304.0,181.0,184.0,173.0,1333.0,1309.0,1278.0,17.0,17.0,1.0,14.0,14.0,10.0,14.0,25.0,19.0,10.0,1.0,22.0,16.0,17.0,8.0,34.0,4.0,7.0,1.0,2.0,9.0,11.0,9.0,16.0,4.0,2.0,1.0,1.0,10.0,14.0,8.0,10.0,4.0,1.0,1.0,1.0,2.0,11.0,8.0,7.0,5.0,1.0,1.0,1.0,1.0,2.0,7.0,6.0,3.0,1.0,1.0,1.0,1.0,2.0,5.0,6.0,2.0,6.0,1.0,1.0,1.0,6.0,5.0,5.0
1,2022-04-06T00:13:43.899008,221.0,1997.0,179.0,1872.0,1801.0,1767.0,1711.0,1346.0,520.0,282.0,185.0,1139.0,1674.0,1666.0,1621.0,1595.0,554.0,282.0,180.0,189.0,1618.0,1581.0,1569.0,1523.0,550.0,161.0,157.0,162.0,1554.0,1540.0,1486.0,1459.0,550.0,153.0,152.0,153.0,168.0,1489.0,1448.0,1410.0,525.0,163.0,153.0,147.0,151.0,167.0,1399.0,1372.0,450.0,175.0,168.0,155.0,154.0,165.0,1350.0,1328.0,428.0,276.0,184.0,182.0,170.0,1325.0,1304.0,1293.0,18.0,15.0,1.0,11.0,10.0,8.0,9.0,48.0,15.0,8.0,1.0,18.0,12.0,12.0,7.0,12.0,4.0,7.0,1.0,2.0,9.0,8.0,7.0,10.0,4.0,2.0,1.0,1.0,12.0,9.0,8.0,8.0,5.0,1.0,1.0,1.0,1.0,7.0,5.0,7.0,4.0,1.0,1.0,1.0,1.0,2.0,6.0,5.0,3.0,1.0,1.0,1.0,1.0,2.0,6.0,5.0,2.0,4.0,1.0,1.0,1.0,7.0,6.0,6.0
1,2022-04-06T00:13:43.965779,223.0,2043.0,181.0,1853.0,1815.0,1748.0,1724.0,1362.0,312.0,1140.0,190.0,1151.0,1718.0,1677.0,1644.0,1561.0,556.0,228.0,184.0,184.0,1612.0,1600.0,1564.0,1509.0,553.0,606.0,157.0,163.0,1571.0,1541.0,1471.0,1473.0,181.0,151.0,153.0,157.0,170.0,1494.0,1423.0,1403.0,513.0,165.0,153.0,147.0,152.0,165.0,1396.0,1378.0,449.0,181.0,168.0,155.0,155.0,164.0,1341.0,1313.0,426.0,294.0,183.0,179.0,174.0,1322.0,1302.0,1277.0,14.0,20.0,1.0,15.0,7.0,9.0,12.0,43.0,25.0,14.0,1.0,24.0,23.0,9.0,9.0,14.0,4.0,6.0,1.0,2.0,11.0,14.0,7.0,12.0,4.0,13.0,1.0,1.0,8.0,9.0,8.0,9.0,3.0,1.0,1.0,1.0,2.0,9.0,8.0,8.0,4.0,1.0,1.0,1.0,1.0,2.0,7.0,6.0,3.0,1.0,1.0,1.0,1.0,2.0,6.0,8.0,2.0,5.0,1.0,1.0,1.0,7.0,6.0,6.0
1,2022-04-06T00:13:44.748239,214.0,2006.0,1948.0,186.0,1777.0,1765.0,1705.0,1117.0,557.0,1114.0,1101.0,190.0,1730.0,1680.0,1623.0,1609.0,562.0,583.0,1062.0,162.0,164.0,1598.0,1565.0,1493.0,557.0,634.0,152.0,152.0,155.0,1551.0,1511.0,1437.0,576.0,157.0,158.0,151.0,148.0,156.0,1471.0,1412.0,525.0,174.0,169.0,157.0,149.0,153.0,1399.0,1364.0,463.0,285.0,174.0,177.0,170.0,162.0,1344.0,1324.0,428.0,447.0,415.0,193.0,182.0,176.0,1300.0,1284.0,17.0,10.0,15.0,1.0,16.0,8.0,13.0,21.0,17.0,17.0,8.0,2.0,16.0,9.0,7.0,16.0,5.0,10.0,8.0,1.0,2.0,8.0,9.0,11.0,3.0,16.0,1.0,1.0,1.0,12.0,8.0,8.0,3.0,2.0,1.0,1.0,1.0,1.0,8.0,6.0,3.0,2.0,1.0,1.0,1.0,1.0,7.0,5.0,3.0,6.0,1.0,1.0,1.0,1.0,7.0,8.0,2.0,2.0,4.0,1.0,1.0,2.0,6.0,6.0
1,2022-04-06T00:13:44.814123,244.0,1997.0,1977.0,184.0,1792.0,1757.0,1732.0,1315.0,536.0,1118.0,1105.0,192.0,1666.0,1668.0,1638.0,1253.0,563.0,1037.0,1050.0,160.0,161.0,1605.0,1574.0,1535.0,563.0,170.0,151.0,153.0,154.0,1548.0,1502.0,1469.0,566.0,156.0,155.0,149.0,150.0,150.0,1454.0,1408.0,531.0,172.0,168.0,155.0,147.0,149.0,1403.0,1374.0,469.0,294.0,178.0,175.0,168.0,163.0,1363.0,1336.0,429.0,449.0,268.0,192.0,181.0,179.0,1311.0,1289.0,13.0,15.0,14.0,1.0,13.0,9.0,14.0,36.0,14.0,14.0,9.0,1.0,13.0,13.0,7.0,15.0,3.0,11.0,9.0,1.0,2.0,8.0,8.0,10.0,4.0,3.0,1.0,1.0,1.0,12.0,8.0,7.0,3.0,2.0,1.0,1.0,1.0,1.0,9.0,6.0,3.0,2.0,1.0,1.0,1.0,1.0,8.0,6.0,3.0,6.0,1.0,1.0,1.0,1.0,8.0,5.0,2.0,2.0,4.0,1.0,1.0,1.0,5.0,6.0
